problem_id,original,direct_0,direct_1,direct_2,direct_3,direct_4,direct_5,direct_6,direct_7,top8,rank_order,top1_index,top1
aizu_1444_yokohama-phenomena,1745.3178779999992,1673.3444350000002,1691.7912889999998,1501.2351700000008,1652.1211590000007,1655.0388990000001,1552.333508,1804.248085,1723.2996459999995,1501.2351700000008,"['direct_2', 'direct_5', 'direct_3', 'direct_4', 'direct_0', 'direct_1', 'direct_7', 'direct_6']",direct_6,1804.248085
aizu_1447_nested-repetition-compression,7822.951458999998,8433.601220999997,8570.691149999999,6179.975362,11376.939563,6019.287165000001,7603.665967,6487.321717000001,3763.1640990000005,3763.1640990000005,"['direct_7', 'direct_4', 'direct_2', 'direct_6', 'direct_5', 'direct_0', 'direct_1', 'direct_3']",direct_7,3763.1640990000005
aizu_1448_chayas,1990.9249599999998,1803.8925350000002,2280.225615999999,2148.0117569999998,2226.1485420000013,2500.0699640000007,,1997.3207990000003,2017.9117430000001,1803.8925350000002,"['direct_0', 'direct_6', 'direct_7', 'direct_2', 'direct_3', 'direct_1', 'direct_4']",direct_3,2226.1485420000013
aizu_1449_color-inversion-on-a-huge-chessboard,6036.008717,2325.399056,2643.066679000001,2238.3615610000006,2346.723175,2306.0188430000003,2308.1384369999996,2201.475192,2145.270462999999,2145.270462999999,"['direct_7', 'direct_6', 'direct_2', 'direct_4', 'direct_5', 'direct_0', 'direct_3', 'direct_1']",direct_5,2308.1384369999996
aizu_1455_ribbon-on-the-christmas-present,1535.4495249999995,,1928.683367,2120.5286729999993,1942.3769070000003,1631.9834470000005,1686.0695010000004,1634.3529829999998,1916.811756999999,1631.9834470000005,"['direct_4', 'direct_6', 'direct_5', 'direct_7', 'direct_1', 'direct_3', 'direct_2']",direct_6,1634.3529829999998
aizu_1456_the-sparsest-number-in-between,1634.9296269999998,1957.8113349999994,1902.757291,1911.5920860000006,,2017.1796429999995,1981.2962340000006,2082.4654729999997,1874.1973140000002,1874.1973140000002,"['direct_7', 'direct_1', 'direct_2', 'direct_0', 'direct_5', 'direct_4', 'direct_6']",direct_5,1981.2962340000006
aizu_1459_e-circuit-is-now-on-sale!,1680.4058719999996,1690.0850909999988,1676.234292,1681.1476709999997,1765.8299900000004,1605.2149200000001,2017.1938430000002,1673.4554649999998,1726.9180979999994,1605.2149200000001,"['direct_4', 'direct_6', 'direct_1', 'direct_2', 'direct_0', 'direct_7', 'direct_3', 'direct_5']",direct_0,1690.0850909999988
aizu_1460_the-farthest-point,1857.7819029999994,1604.3029130000002,1903.6628949999997,1646.2927200000006,1691.5395029999997,1549.932508,1882.022644,1844.534304,1735.391486000001,1549.932508,"['direct_4', 'direct_0', 'direct_2', 'direct_3', 'direct_7', 'direct_6', 'direct_5', 'direct_1']",direct_3,1691.5395029999997
aizu_1464_mixing-solutions,2580.568859,1840.0042280000005,1723.9996880000003,1898.6031229999994,1768.4276039999997,1969.4539559999992,1859.8944479999993,1900.073532999999,1793.5218890000006,1723.9996880000003,"['direct_1', 'direct_3', 'direct_7', 'direct_0', 'direct_5', 'direct_2', 'direct_6', 'direct_4']",direct_1,1723.9996880000003
aizu_1664_which-team-should-receive-the-sponsor-prize?,1613.35749,1815.8973350000003,1601.8348459999997,1700.574424,1811.3512280000002,1704.9383620000003,1443.0891879999997,1565.385585,1672.2562289999998,1443.0891879999997,"['direct_5', 'direct_6', 'direct_1', 'direct_7', 'direct_2', 'direct_4', 'direct_3', 'direct_0']",direct_0,1815.8973350000003
aizu_1665_amidakuji,1608.0887860000005,1635.2017970000004,1580.7710759999993,1446.708598,1693.2656449999993,1550.4457190000003,1734.258218999999,1685.21722,1530.9570309999997,1446.708598,"['direct_2', 'direct_7', 'direct_4', 'direct_1', 'direct_0', 'direct_6', 'direct_3', 'direct_5']",direct_6,1685.21722
aizu_1666_changing-the-sitting-arrangement,1605.5596769999995,1498.0851459999992,1669.5099760000007,1761.7480829999995,1520.6718090000006,1729.3751209999996,1683.4289459999998,1664.3023930000002,1482.6866690000006,1482.6866690000006,"['direct_7', 'direct_0', 'direct_3', 'direct_6', 'direct_1', 'direct_5', 'direct_4', 'direct_2']",direct_0,1498.0851459999992
aizu_1668_tampered-records,1909.1444279999998,1734.3671789999996,1820.167669,1786.3818729999994,,1755.452423,1489.7460720000001,,2181.3663329999995,1489.7460720000001,"['direct_5', 'direct_0', 'direct_4', 'direct_2', 'direct_1', 'direct_7']",direct_4,1755.452423
