problem_id,best_direct,original,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,top8,rank_order
aizu_1444_yokohama-phenomena,233.817776,368.11239000000006,263.830469,254.704722,226.76704700000005,279.461659,428.385546,267.43175199999996,264.781315,309.320266,226.76704700000005,"['rank_3', 'rank_2', 'rank_1', 'rank_7', 'rank_6', 'rank_4', 'rank_8', 'rank_5']"
aizu_1447_nested-repetition-compression,1340.7614649999998,1503.140791,,,,,,,,,,[]
aizu_1448_chayas,,393.03034600000007,,,,,,,,,,[]
aizu_1449_color-inversion-on-a-huge-chessboard,239.126205,673.509592,,,12103.137323,,406.04961600000007,,,,406.04961600000007,"['rank_5', 'rank_3']"
aizu_1455_ribbon-on-the-christmas-present,244.66523899999996,340.19810200000006,,,,,,,,,,[]
aizu_1456_the-sparsest-number-in-between,446.84589299999993,383.685529,,441.21835599999997,410.122108,,,,,,410.122108,"['rank_3', 'rank_2']"
aizu_1459_e-circuit-is-now-on-sale!,303.084461,394.962557,259.756782,,,360.0139379999999,323.11609300000003,318.512707,378.107189,,259.756782,"['rank_1', 'rank_6', 'rank_5', 'rank_4', 'rank_7']"
aizu_1460_the-farthest-point,247.018126,339.98395500000004,,,,,,,,,,[]
aizu_1464_mixing-solutions,,528.1215980000001,,,,,,,,,,[]
aizu_1664_which-team-should-receive-the-sponsor-prize?,229.25834,276.71064,,299.72869900000006,363.010688,274.23087100000004,322.538772,304.4199519999999,315.249885,,274.23087100000004,"['rank_4', 'rank_2', 'rank_6', 'rank_7', 'rank_5', 'rank_3']"
aizu_1665_amidakuji,282.24488499999995,328.69872000000004,378.6464639999999,361.51295500000003,285.99291800000003,,,,,,285.99291800000003,"['rank_3', 'rank_2', 'rank_1']"
aizu_1666_changing-the-sitting-arrangement,,298.67379500000004,,,,,,,,,,[]
aizu_1668_tampered-records,349.8768199999999,465.59542100000004,,317.846353,,,,1317.056077,,,317.846353,"['rank_2', 'rank_6']"
aizu_1672_snacks-within-300-yen,276.22339500000004,279.352158,339.83978499999995,274.93057200000004,,337.1028990000001,309.828987,,304.813512,288.228083,274.93057200000004,"['rank_2', 'rank_8', 'rank_7', 'rank_5', 'rank_4', 'rank_1']"
aizu_1673_overtaking,360.63409599999994,296.314465,348.50769800000006,318.89596400000005,378.614808,318.884108,324.7320010000001,,278.539074,385.03345299999995,278.539074,"['rank_7', 'rank_4', 'rank_2', 'rank_5', 'rank_1', 'rank_3', 'rank_8']"
aizu_1674_honeycomb-distance,322.9762,298.62094700000006,295.51871800000004,,313.003352,,,,275.395157,,275.395157,"['rank_7', 'rank_1', 'rank_3']"
aizu_1678_two-sets-of-cards,,276.684142,328.18410499999993,,,357.360505,,,,,328.18410499999993,"['rank_1', 'rank_4']"
aizu_3600_sum-of-product-of-binomial-coefficients,2642.5194960000003,2778.553682,4817.428924000001,2685.8865779999996,2768.660954,,12658.727994,,,,2685.8865779999996,"['rank_2', 'rank_3', 'rank_1', 'rank_5']"
aizu_3612_roller-coaster,570.254352,505.57485499999996,569.802145,,696.5893760000001,619.018758,,540.667784,580.817235,,540.667784,"['rank_6', 'rank_1', 'rank_7', 'rank_4', 'rank_3']"
aizu_3613_break-a-prison,388.49824700000005,347.78578600000003,,,,337.7565880000001,400.81106500000004,393.34933100000006,,352.83482699999996,337.7565880000001,"['rank_4', 'rank_8', 'rank_6', 'rank_5']"
aizu_3614_camp-room-assignment,10459.290226,10512.639471999999,10126.015687,10175.878623999999,10175.222323,11171.647863000004,9934.108785,,10169.874414999998,,9934.108785,"['rank_5', 'rank_1', 'rank_7', 'rank_3', 'rank_2', 'rank_4']"
aizu_3616_gacha-101,1417.821932,1548.6557249999998,1505.9554819999998,,,1515.985349,,1491.468831,,,1491.468831,"['rank_6', 'rank_1', 'rank_4']"
aizu_3619_lcp-queries,315.765345,1357.717422,309.129978,1341.2720549999997,399.974758,1372.6729209999999,1332.821719,309.80417,,,309.129978,"['rank_1', 'rank_6', 'rank_3', 'rank_5', 'rank_2', 'rank_4']"
aizu_3627_expression-sum,,787.123918,676.6392620000001,,,665.8645120000001,,647.2628110000002,,,647.2628110000002,"['rank_6', 'rank_4', 'rank_1']"
aizu_3629_give-me-a-lot-of-triangles,,261.106767,,,,311.342989,,,,,311.342989,['rank_4']
aizu_3630_half-plane-painting,455.767825,336.54536,372.311707,363.81632900000005,399.88654900000006,467.1243410000001,394.07162700000003,,387.18706199999997,,363.81632900000005,"['rank_2', 'rank_1', 'rank_7', 'rank_5', 'rank_3', 'rank_4']"
aizu_3631_i-love-square-number,5518.039896999999,5310.981395999999,5177.029842999999,5664.644553999999,5787.947235000001,4387.5328469999995,5772.061852000001,5138.160781999999,5621.016662,5333.945996999999,4387.5328469999995,"['rank_4', 'rank_6', 'rank_1', 'rank_8', 'rank_7', 'rank_2', 'rank_5', 'rank_3']"
aizu_3636_noncoprime-subsequences,3202.1502029999992,3105.6159380000004,,6501.607261000001,6579.498522,,6562.143431,,,3028.0160650000003,3028.0160650000003,"['rank_8', 'rank_2', 'rank_5', 'rank_3']"
aizu_3637_tower-defense,393.377616,360.54894300000007,325.14864099999994,319.21012699999994,383.23872400000005,320.516227,324.82144100000005,369.19626,,,319.21012699999994,"['rank_2', 'rank_4', 'rank_5', 'rank_1', 'rank_6', 'rank_3']"
aizu_3638_renovation,703.5225309999998,680.6273200000002,,655.321154,,,,,636.0577609999999,,636.0577609999999,"['rank_7', 'rank_2']"
aizu_3639_commutativity,472.53163,375.937214,369.56304,,,359.056255,,,,,359.056255,"['rank_4', 'rank_1']"
aizu_3640_paper-cut-game,386.74129899999997,1447.2611959999997,,,1453.7094189999998,,,5508.670015000001,,525.6334770000001,525.6334770000001,"['rank_8', 'rank_3', 'rank_6']"
aizu_3647_equal-or-not-equal,666.9317290000001,538.7232779999999,553.0004789999999,475.727858,,846.276208,566.682892,,533.2225169999999,477.194003,475.727858,"['rank_2', 'rank_8', 'rank_7', 'rank_1', 'rank_5', 'rank_4']"
atcoder_abc380a_123233,437.577161,365.307775,285.67494099999993,434.0163560000001,329.980596,264.88554,291.467118,346.436548,286.84887399999997,337.27913200000006,264.88554,"['rank_4', 'rank_1', 'rank_7', 'rank_5', 'rank_3', 'rank_8', 'rank_6', 'rank_2']"
atcoder_abc380b_hurdle-parsing,360.50571400000007,347.58921,332.122008,277.64607,375.328729,313.53012199999995,302.006724,278.66542100000004,279.134254,,277.64607,"['rank_2', 'rank_6', 'rank_7', 'rank_5', 'rank_4', 'rank_1', 'rank_3']"
atcoder_abc380c_move-segment,406.99904000000004,480.92896099999996,437.12305299999997,,,418.905592,412.30044100000003,,,,412.30044100000003,"['rank_5', 'rank_4', 'rank_1']"
atcoder_abc380d_strange-mirroring,924.836563,905.590064,881.5135989999999,893.9730350000001,934.0051759999998,973.9997240000002,930.8790379999999,1025.0980840000002,,,881.5135989999999,"['rank_1', 'rank_2', 'rank_5', 'rank_3', 'rank_4', 'rank_6']"
atcoder_abc380e_1d-bucket-tool,,457.60143099999993,399.2529360000001,,363.365175,290.129048,287.760426,,,,287.760426,"['rank_5', 'rank_4', 'rank_3', 'rank_1']"
atcoder_abc380f_exchange-game,495.65842699999996,509.60691099999985,590.449475,469.59112100000004,495.886437,401.43815900000004,420.397912,444.1289239999999,417.331133,536.44961,401.43815900000004,"['rank_4', 'rank_7', 'rank_5', 'rank_6', 'rank_2', 'rank_3', 'rank_8', 'rank_1']"
atcoder_abc381a_11-22-string,401.089841,355.54166599999996,265.68183500000004,241.91044,274.726694,264.39903799999996,295.01168599999994,285.46695300000005,291.792227,319.925094,241.91044,"['rank_2', 'rank_4', 'rank_1', 'rank_3', 'rank_6', 'rank_7', 'rank_5', 'rank_8']"
