Model,Method,Python OPT@1 (%),Python OPT@8 (%),C++ OPT@1 (%),C++ OPT@8 (%)
GPT-5-mini,Instruction,18.62,31.62,31.62,48.15
GPT-5-mini,RAG,19.90,29.37,34.19,45.43
GPT-5-mini,CoT,18.62,28.73,40.93,54.74
GPT-5-mini,SBLLM,17.34,18.94,38.84,53.45
GPT-5-mini,FasterPy,21.19,32.42,38.84,51.69
GPT-5-mini,EffiSkill,26.48*,37.40*,44.62dagger,66.77*
Qwen3-Coder-30B,Instruction,12.52,24.40,26.00,32.58
Qwen3-Coder-30B,RAG,7.22,19.74,16.37,25.04
Qwen3-Coder-30B,CoT,16.05,26.00,23.11,30.02
Qwen3-Coder-30B,SBLLM,6.90,8.67,28.41,43.98
Qwen3-Coder-30B,FasterPy,13.96,28.25,19.90,34.19
Qwen3-Coder-30B,EffiCoder,14.29,16.69,14.77,25.20
Qwen3-Coder-30B,EffiSkill,21.35*,36.60*,34.19*,56.50*
